skills,education,job_recommendation,projects,math_knowledge,industry_demand
"Python, TensorFlow, NumPy, Pandas, Matplotlib",BSc,AI Infrastructure Engineer,Distributed Training System; Model Serving System,"Probability, Calculus",High
"Python, PyTorch, Transformers, NumPy, Pandas",MTech,Generative AI Engineer,AI Text Generator; Text to Image System,"Linear Algebra, Calculus",Medium
"Python, OpenCV, NumPy, TensorFlow, Matplotlib",BTech,Robotics Engineer (AI-focused),Robot Navigation System; Obstacle Avoidance Robot,"Probability, Calculus",High
"Python, TensorFlow, NumPy, Pandas, Matplotlib",MTech,AI Infrastructure Engineer,Distributed Training System; Model Serving System,"Linear Algebra, Probability",Medium
"Python, TensorFlow, NumPy, Pandas, Matplotlib",BSc,AI Infrastructure Engineer,Distributed Training System; Model Serving System,"Linear Algebra, Calculus",Medium
"Python, OpenCV, TensorFlow, Keras, NumPy",BTech,Computer Vision Engineer,Face Detection System; Object Detection System,"Probability, Calculus",High
"Python, TensorFlow, Keras, Pandas, NumPy",BTech,MLOps Engineer,Model Deployment Pipeline; CI/CD ML System,"Statistics, Linear Algebra",High
"Python, Transformers, PyTorch, NumPy, Pandas",BSc,LLM Engineer,Custom LLM Model; Chatbot with LLM,"Linear Algebra, Probability",Medium
"Python, Scikit-learn, Pandas, NumPy, Matplotlib",BSc,Recommendation Systems Engineer,Movie Recommendation System; Product Recommendation System,"Probability, Statistics",High
"Python, TensorFlow, Keras, NumPy, Matplotlib",MSc,Reinforcement Learning Engineer,Game Playing Agent; Self Driving Simulation,"Linear Algebra, Calculus",High
"Python, OpenCV, TensorFlow, Keras, NumPy",MTech,Computer Vision Engineer,Face Detection System; Object Detection System,"Linear Algebra, Probability",Medium
"Python, PyTorch, NumPy, Pandas, Matplotlib",BTech,Speech Recognition Engineer,Speech to Text System; Voice Assistant,"Linear Algebra, Calculus",High
"Python, OpenCV, TensorFlow, Keras, NumPy",MSc,Computer Vision Engineer,Face Detection System; Object Detection System,"Linear Algebra, Calculus",Medium
